FileName,Type,Name,ReleaseDate,Eoas,Eol,Version,Date
redhat-satellite,versions,6.5.2,2019-08-06,,,,
redhat-satellite,versions,6.4.4,2019-07-15,,,,
redhat-satellite,versions,6.5.1,2019-06-20,,,,
redhat-satellite,versions,6.5.0,2019-05-14,,,,
redhat-satellite,versions,6.4.3,2019-04-30,,,,
redhat-satellite,versions,6.4.2,2019-02-13,,,,
redhat-satellite,versions,6.4.1,2018-12-06,,,,
redhat-satellite,versions,6.2.16,2018-11-26,,,,
redhat-satellite,versions,6.3.5,2018-10-30,,,,
redhat-satellite,versions,6.4.0,2018-10-16,,,,
redhat-satellite,versions,6.3.4,2018-10-11,,,,
redhat-satellite,versions,6.3.3,2018-08-22,,,,
redhat-satellite,versions,6.3.2,2018-06-19,,,,
redhat-satellite,versions,6.2.15,2018-05-21,,,,
redhat-satellite,versions,6.3.1,2018-04-13,,,,
redhat-satellite,versions,6.3.0,2018-02-21,,,,
redhat-satellite,versions,6.2.14,2018-02-05,,,,
redhat-satellite,versions,6.2.13,2017-12-20,,,,
redhat-satellite,versions,6.2.12,2017-09-25,,,,
redhat-satellite,versions,6.2.11,2017-08-10,,,,
redhat-satellite,versions,6.1.12,2017-06-29,,,,
redhat-satellite,versions,6.2.10,2017-06-20,,,,
redhat-satellite,versions,5.8.0,2017-06-20,,,,
redhat-satellite,versions,6.2.9,2017-05-01,,,,
redhat-satellite,versions,6.2.8,2017-03-06,,,,
redhat-satellite,versions,6.2.7,2017-01-26,,,,
redhat-satellite,versions,6.2.6,2016-12-19,,,,
redhat-satellite,versions,6.2.5,2016-12-12,,,,
redhat-satellite,versions,6.1.11,2016-11-17,,,,
redhat-satellite,versions,6.2.4,2016-11-10,,,,
redhat-satellite,versions,6.2.3,2016-10-26,,,,
redhat-satellite,versions,6.1.10,2016-09-27,,,,
redhat-satellite,versions,6.2.2,2016-09-15,,,,
redhat-satellite,versions,6.2.1,2016-08-16,,,,
redhat-satellite,versions,6.2.0,2016-07-27,,,,
redhat-satellite,versions,6.1.9,2016-05-17,,,,
redhat-satellite,versions,6.1.8,2016-03-22,,,,
redhat-satellite,versions,6.1.7,2016-02-15,,,,
redhat-satellite,versions,6.1.6,2016-01-21,,,,
redhat-satellite,versions,6.1.5,2015-12-15,,,,
redhat-satellite,versions,6.1.4,2015-11-19,,,,
redhat-satellite,versions,6.1.3,2015-10-12,,,,
redhat-satellite,versions,6.1.2,2015-09-15,,,,
redhat-satellite,versions,6.0.8,2015-02-20,,,,
redhat-satellite,versions,6.0.7,2015-01-16,,,,
redhat-satellite,versions,5.7.0,2015-01-12,,,,
redhat-satellite,versions,6.0.6,2014-11-13,,,,
redhat-satellite,versions,6.0.5,2014-09-22,,,,
redhat-satellite,versions,5.6.0,2013-10-01,,,,
eks,versions,1.31-eks-17,2025-01-17,,,,
eks,versions,1.30-eks-25,2025-01-17,,,,
eks,versions,1.29-eks-28,2025-01-17,,,,
eks,versions,1.28-eks-34,2025-01-17,,,,
eks,versions,1.27-eks-38,2025-01-17,,,,
eks,versions,1.26-eks-40,2025-01-17,,,,
eks,versions,1.25-eks-40,2025-01-17,,,,
eks,versions,1.24-eks-44,2025-01-17,,,,
eks,versions,1.31-eks-12,2024-11-15,,,,
eks,versions,1.30-eks-20,2024-11-15,,,,
eks,versions,1.29-eks-23,2024-11-15,,,,
eks,versions,1.28-eks-29,2024-11-15,,,,
eks,versions,1.27-eks-33,2024-11-15,,,,
eks,versions,1.26-eks-35,2024-11-15,,,,
eks,versions,1.25-eks-35,2024-11-15,,,,
eks,versions,1.24-eks-39,2024-11-15,,,,
eks,versions,1.31-eks-6,2024-10-21,,,,
eks,versions,1.30-eks-12,2024-10-21,,,,
eks,versions,1.29-eks-17,2024-10-21,,,,
eks,versions,1.28-eks-23,2024-10-21,,,,
eks,versions,1.27-eks-27,2024-10-21,,,,
eks,versions,1.26-eks-28,2024-10-21,,,,
eks,versions,1.25-eks-29,2024-10-21,,,,
eks,versions,1.24-eks-32,2024-10-21,,,,
eks,versions,1.31-eks-4,2024-09-26,,,,
eks,versions,1.30-eks-8,2024-09-03,,,,
eks,versions,1.29-eks-13,2024-09-03,,,,
eks,versions,1.28-eks-19,2024-09-03,,,,
eks,versions,1.27-eks-23,2024-09-03,,,,
eks,versions,1.26-eks-24,2024-09-03,,,,
eks,versions,1.25-eks-25,2024-09-03,,,,
eks,versions,1.24-eks-28,2024-09-03,,,,
eks,versions,1.30-eks-7,2024-08-28,,,,
eks,versions,1.29-eks-12,2024-08-28,,,,
eks,versions,1.28-eks-18,2024-08-28,,,,
eks,versions,1.27-eks-22,2024-08-28,,,,
eks,versions,1.26-eks-23,2024-08-28,,,,
eks,versions,1.25-eks-24,2024-08-28,,,,
eks,versions,1.24-eks-27,2024-08-28,,,,
eks,versions,1.30-eks-6,2024-08-09,,,,
eks,versions,1.29-eks-11,2024-08-09,,,,
eks,versions,1.28-eks-17,2024-08-09,,,,
eks,versions,1.27-eks-21,2024-08-09,,,,
eks,versions,1.26-eks-22,2024-08-09,,,,
eks,versions,1.25-eks-23,2024-08-09,,,,
eks,versions,1.24-eks-26,2024-08-09,,,,
eks,versions,1.30-eks-5,2024-07-02,,,,
eks,versions,1.29-eks-10,2024-07-02,,,,
eks,versions,1.28-eks-16,2024-07-02,,,,
eks,versions,1.27-eks-20,2024-07-02,,,,
eks,versions,1.26-eks-21,2024-07-02,,,,
eks,versions,1.25-eks-22,2024-07-02,,,,
eks,versions,1.24-eks-25,2024-07-02,,,,
eks,versions,1.30-eks-2,2024-05-23,,,,
eks,versions,1.29-eks-7,2024-05-16,,,,
eks,versions,1.28-eks-13,2024-05-16,,,,
eks,versions,1.27-eks-17,2024-05-16,,,,
eks,versions,1.26-eks-18,2024-05-16,,,,
eks,versions,1.25-eks-19,2024-05-16,,,,
eks,versions,1.24-eks-22,2024-05-16,,,,
eks,versions,1.29-eks-6,2024-04-18,,,,
eks,versions,1.28-eks-12,2024-04-18,,,,
eks,versions,1.27-eks-16,2024-04-18,,,,
eks,versions,1.26-eks-17,2024-04-18,,,,
eks,versions,1.25-eks-18,2024-04-18,,,,
eks,versions,1.24-eks-21,2024-04-18,,,,
eks,versions,1.29-eks-5,2024-03-29,,,,
eks,versions,1.28-eks-11,2024-03-29,,,,
eks,versions,1.27-eks-15,2024-03-29,,,,
eks,versions,1.26-eks-16,2024-03-29,,,,
eks,versions,1.25-eks-17,2024-03-29,,,,
eks,versions,1.24-eks-20,2024-03-29,,,,
eks,versions,1.29-eks-4,2024-03-20,,,,
eks,versions,1.28-eks-10,2024-03-20,,,,
eks,versions,1.27-eks-14,2024-03-20,,,,
eks,versions,1.26-eks-15,2024-03-20,,,,
eks,versions,1.25-eks-16,2024-03-20,,,,
eks,versions,1.24-eks-19,2024-03-20,,,,
